id,name_th,name_en,province_id
683,เนินมะปราง,เนินมะปราง,65
684,เมืองพิจิตร,เมืองพิจิตร,66
685,ตะพานหิน,ตะพานหิน,66
686,บางมูลนาก,บางมูลนาก,66
687,บึงนาราง,บึงนาราง,66
688,โพทะเล,โพทะเล,66
689,วชิรบารมี,วชิรบารมี,66
690,สามง่าม,สามง่าม,66
691,ทับคล้อ,ทับคล้อ,66
692,สากเหล็ก,สากเหล็ก,66
693,วังทรายพูน,วังทรายพูน,66
694,โพธิ์ประทับช้าง,โพธิ์ประทับช้าง,66
695,ดงเจริญ,ดงเจริญ,66
696,เมืองเพชรบูรณ์,เมืองเพชรบูรณ์,67
697,หล่มสัก,หล่มสัก,67
698,หล่มเก่า,หล่มเก่า,67
699,วิเชียรบุรี,วิเชียรบุรี,67
700,หนองไผ่,หนองไผ่,67
701,ชนแดน,ชนแดน,67
702,บึงสามพัน,บึงสามพัน,67
703,ศรีเทพ,ศรีเทพ,67
704,วังโป่ง,วังโป่ง,67
705,น้ำหนาว,น้ำหนาว,67
706,เขาค้อ,เขาค้อ,67
707,เมืองราชบุรี,เมืองราชบุรี,70
708,บ้านโป่ง,บ้านโป่ง,70
709,โพธาราม,โพธาราม,70
710,ดำเนินสะดวก,ดำเนินสะดวก,70
711,ปากท่อ,ปากท่อ,70
712,จอมบึง,จอมบึง,70
713,บางแพ,บางแพ,70
714,วัดเพลง,วัดเพลง,70
715,บ้านคา,บ้านคา,70
716,สวนผึ้ง,สวนผึ้ง,70
717,ท่ามะกา,ท่ามะกา,71
718,ท่าม่วง,ท่าม่วง,71
719,เมืองกาญจนบุรี,เมืองกาญจนบุรี,71
720,พนมทวน,พนมทวน,71
721,ไทรโยค,ไทรโยค,71
722,บ่อพลอย,บ่อพลอย,71
723,ห้วยกระเจา,ห้วยกระเจา,71
724,ทองผาภูมิ,ทองผาภูมิ,71
725,เลาขวัญ,เลาขวัญ,71
726,ศรีสวัสดิ์,ศรีสวัสดิ์,71
727,หนองปรือ,หนองปรือ,71
728,สังขละบุรี,สังขละบุรี,71
729,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,71
730,อู่ทอง,อู่ทอง,72
731,เมืองสุพรรณบุรี,เมืองสุพรรณบุรี,72
732,สองพี่น้อง,สองพี่น้อง,72
733,เดิมบางนางบวช,เดิมบางนางบวช,72
734,สามชุก,สามชุก,72
735,ศรีประจันต์,ศรีประจันต์,72
736,บางปลาม้า,บางปลาม้า,72
737,ดอนเจดีย์,ดอนเจดีย์,72
738,ด่านช้าง,ด่านช้าง,72
739,หนองหญ้าไซ,หนองหญ้าไซ,72
740,เมืองนครปฐม,เมืองนครปฐม,73
741,สามพราน,สามพราน,73
742,นครชัยศรี,นครชัยศรี,73
743,บางเลน,บางเลน,73
744,กำแพงแสน,กำแพงแสน,73
745,ดอนตูม,ดอนตูม,73
746,พุทธมณฑล,พุทธมณฑล,73
747,เมืองสมุทรสาคร,เมืองสมุทรสาคร,74
748,กระทุ่มแบน,กระทุ่มแบน,74
749,บ้านแพ้ว,บ้านแพ้ว,74
750,เมืองสมุทรสงคราม,เมืองสมุทรสงคราม,75
751,อัมพวา,อัมพวา,75
752,บางคนที,บางคนที,75
753,เมืองเพชรบุรี,เมืองเพชรบุรี,76
754,บ้านแหลม,บ้านแหลม,76
